"","Tranche2CDSValue_0.0005","Tranche2CDSValue_0.0008","Tranche2CDSValue_0.0012","Tranche2CDSValue_0.0016","Tranche2CDSValue_0.0028","Date"
"1",125664.894329767,-1011722.91374637,-2528239.99118123,-4044757.06861608,-8594308.30092065,2005-01-13
"2",112607.631694022,-1025463.9265415,-2542892.67085554,-4060321.41516957,-8612607.64811167,2005-01-14
"3",101963.250175524,-1035788.32682173,-2552790.42948473,-4069792.53214773,-8620798.84013673,2005-01-17
"4",104934.168690968,-1031289.65115483,-2546254.74428255,-4061219.83741028,-8606115.11679346,2005-01-18
"5",113356.533132192,-1022928.76500202,-2537975.82918096,-4053022.89335991,-8598164.08589674,2005-01-19
"6",135208.499696288,-997646.79017613,-2508120.51000602,-4018594.22983591,-8550015.38932558,2005-01-20
"7",169751.436719474,-964295.076124751,-2476357.09325039,-3988419.11037602,-8524605.16175292,2005-01-21
"8",211791.399443308,-923242.918278966,-2436622.00857533,-3950001.0988717,-8490138.36976079,2005-01-24
"9",233519.304063788,-902278.534337171,-2416675.65220512,-3931072.77007306,-8474264.1236769,2005-01-25
"10",271442.716838676,-864042.77219373,-2378023.42423694,-3892004.07628015,-8433946.03240977,2005-01-26
"11",294544.009559854,-840887.167176852,-2354795.40282579,-3868703.63847473,-8410428.34542156,2005-01-27
"12",319736.697181948,-814594.255347526,-2327035.52538683,-3839476.79542612,-8376800.60554402,2005-01-28
"13",313714.094265368,-827808.268656471,-2349838.08588559,-3871867.90311471,-8437957.35480206,2005-01-31
"14",297114.807969616,-843644.034273538,-2364655.82393108,-3885667.61358862,-8448702.98256123,2005-02-01
"15",262048.923895114,-881377.835796445,-2405946.84871852,-3930515.8616406,-8504222.90040684,2005-02-02
"16",218072.646151115,-925933.957074729,-2451276.09470919,-3976618.23234365,-8552644.64524702,2005-02-03
"17",162403.543100023,-981456.809276315,-2506603.9457781,-4031751.08227988,-8607192.49178524,2005-02-04
"18",121042.20267412,-1014691.61735863,-2529003.37740231,-4043315.13744598,-8586250.41757699,2005-02-07
"19",83975.112022446,-1052254.99645145,-2567228.47441665,-4082201.95238185,-8627122.38627745,2005-02-08
"20",50421.1148434841,-1086979.57746647,-2603513.83387975,-4120048.09029303,-8669650.85953286,2005-02-09
"21",20887.0849944644,-1125117.4372506,-2653123.46691068,-4181129.49657076,-8765147.585551,2005-02-10
"22",-7630.15979877291,-1154741.76637193,-2684223.90846948,-4213706.05056703,-8802152.47685966,2005-02-11
"23",-28877.6999348199,-1178164.20020896,-2710546.20057448,-4242928.20094,-8840074.20203655,2005-02-14
"24",-46191.5614550577,-1194981.77328805,-2726702.05573204,-4258422.33817604,-8853583.18550801,2005-02-15
"25",-58527.5863887075,-1205107.34571773,-2733880.35815642,-4262653.37059511,-8848972.40791118,2005-02-16
"26",-70556.2222898701,-1208106.22493573,-2724839.56179687,-4241572.89865801,-8791772.90924144,2005-02-17
"27",-75244.0126401474,-1212635.64755483,-2729157.82744108,-4245680.00732733,-8795246.54698608,2005-02-18
"28",-89557.3404895029,-1224721.39877638,-2738273.47649222,-4251825.55420806,-8792481.78735557,2005-02-21
"29",-92803.0813511848,-1228984.69149582,-2743893.50502201,-4258802.3185482,-8803528.75912676,2005-02-22
"30",-124584.506898684,-1259454.93923465,-2772615.51568262,-4285776.09213058,-8825257.82147446,2005-02-23
"31",-154978.705192165,-1292151.73882433,-2808382.45033389,-4324613.16184344,-8873305.29637211,2005-02-24
"32",-210366.152051243,-1345961.97101203,-2860089.7296264,-4374217.48824078,-8916600.76408391,2005-02-25
"33",-264280.774124693,-1399876.59308548,-2914004.35169985,-4428132.11031423,-8970515.38615736,2005-02-28
"34",-330936.982853452,-1467037.47372153,-2981838.12821231,-4496638.78270308,-9041040.74617541,2005-03-01
"35",-380736.363273207,-1517072.22102285,-3032186.69802238,-4547301.17502191,-9092644.60602049,2005-03-02
"36",-429324.386859306,-1567986.17709486,-3086201.89740894,-4604417.61772302,-9159064.77866526,2005-03-03
